name,tags,rating
Cake Assignment,"['bitmasks', 'constructive algorithms', 'greedy']",1100.0
Cry Me a River,"['dfs and similar', 'dp', 'games', 'graphs']",2200.0
Prefix Maximum Invariance,"['binary search', 'combinatorics', 'data structures', 'sortings']",1900.0
Mexification,"['brute force', 'implementation', 'math']",1500.0
Replace with Occurrences,['constructive algorithms'],1200.0
Maximum Even Sum,"['brute force', 'greedy', 'implementation', 'math']",1100.0
Fun Permutation,"['constructive algorithms', 'math', 'number theory']",900.0
Collatz Conjecture,"['constructive algorithms', 'math']",800.0
Like the Bitset,"['constructive algorithms', 'greedy', 'two pointers']",900.0
In the Dream,"['greedy', 'math']",800.0
To the Infinity,"['data structures', 'hashing', 'math', 'trees']",3500.0
Beyond the Palindrome (Hard Version),"['combinatorics', 'dp', 'math', 'number theory']",3500.0
Beyond the Palindrome (Easy Version),"['combinatorics', 'dp', 'math']",3300.0
From the Unknown (Hard Version),"['brute force', 'constructive algorithms', 'interactive', 'math']",2500.0
From the Unknown (Easy Version),"['constructive algorithms', 'interactive', 'math']",2100.0
By the Assignment,"['binary search', 'bitmasks', 'combinatorics', 'dfs and similar', 'dsu', 'graphs', 'math']",2000.0
For the Champion,"['constructive algorithms', 'interactive', 'math']",1700.0
Against the Difference,"['data structures', 'dp']",1200.0
Permutation Oddness,"['combinatorics', 'dp', 'math']",2900.0
Power Boxes,"['constructive algorithms', 'dp', 'implementation', 'interactive']",2300.0
Sliding Tree,"['constructive algorithms', 'dfs and similar', 'greedy', 'implementation', 'trees']",2300.0
Even Larger,"['brute force', 'greedy', 'implementation']",1200.0
Add 0 or K,"['constructive algorithms', 'math', 'number theory']",1200.0
Painting With Two Colors,"['constructive algorithms', 'implementation', 'math']",800.0
Flint and Steel,"['data structures', 'dp', 'graphs']",3000.0
I Yearned For The Mines,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']",2500.0
Chicken Jockey,"['dp', 'greedy']",1900.0
The Nether,"['graphs', 'interactive']",1400.0
Villagers,['greedy'],800.0
Redstone?,"['brute force', 'data structures', 'implementation', 'math']",800.0
Famous Choreographer,"['hashing', 'implementation', 'strings']",2600.0
Rada and the Chamomile Valley,"['dfs and similar', 'graphs', 'shortest paths']",2100.0
Arithmetics Competition,"['binary search', 'data structures', 'greedy', 'sortings', 'ternary search']",1700.0
From 1 to Infinity,"['binary search', 'dp', 'implementation', 'math']",1600.0
The Cunning Seller (hard version),"['binary search', 'greedy', 'math']",1400.0
The Cunning Seller (easy version),"['greedy', 'math']",1000.0
The Secret Number,['math'],900.0
Homework,"['brute force', 'implementation', 'strings']",800.0
"Sea, You & copriMe","['brute force', 'constructive algorithms', 'graphs', 'greedy', 'math', 'number theory']",2600.0
Wafu!,"['bitmasks', 'brute force', 'data structures', 'dfs and similar', 'dp', 'math']",2000.0
Unjust Binary Life,"['binary search', 'data structures', 'greedy', 'greedy', 'math', 'sortings', 'two pointers']",1900.0
Adjacent XOR,"['brute force', 'greedy']",1400.0
Arboris Contractio,"['data structures', 'graphs', 'greedy', 'trees']",1400.0
Make it Equal,"['math', 'number theory']",1100.0
Alternating Series,"['constructive algorithms', 'greedy', 'math']",800.0
Lever,['math'],800.0
Pathless,['constructive algorithms'],1100.0
Submission is All You Need,"['greedy', 'math']",800.0
Top-K Tracker (Hard Version),"['interactive', 'interactive']",3500.0
Top-K Tracker (Easy Version),['interactive'],3500.0
Induced Subgraph Queries,"['data structures', 'graphs', 'sortings']",3000.0
Permutation Blackhole,"['brute force', 'combinatorics', 'dp', 'implementation', 'math']",2600.0
Interactive RBS (Hard Version),"['binary search', 'bitmasks', 'constructive algorithms', 'dp', 'interactive']",2300.0
Interactive RBS (Medium Version),"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",2000.0
Interactive RBS (Easy Version),"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",1900.0
Stay or Mirror,"['brute force', 'data structures', 'dp', 'greedy', 'sortings']",1600.0
Double Perspective,"['constructive algorithms', 'dp', 'dsu', 'graphs', 'greedy', 'sortings']",1300.0
Strict Triangle,"['graphs', 'greedy', 'shortest paths']",3200.0
Submedians (Hard Version),"['binary search', 'constructive algorithms', 'data structures', 'math', 'two pointers']",2600.0
Submedians (Easy Version),"['binary search', 'data structures', 'dp', 'greedy', 'math']",1900.0
Sum of LDS,"['brute force', 'combinatorics', 'dp', 'greedy', 'math']",1600.0
Leftmost Below,"['greedy', 'math']",1200.0
Deque Process,"['constructive algorithms', 'greedy', 'sortings', 'two pointers']",1100.0
Recycling Center,"['greedy', 'sortings']",800.0
23 Rises Again,"['brute force', 'dfs and similar', 'dp', 'flows', 'graph matchings', 'graphs', 'greedy', 'implementation', 'probabilities', 'trees']",3100.0
Inter Active (Hard Version),"['binary search', 'bitmasks', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'math', 'probabilities']",3500.0
Inter Active (Easy Version),"['binary search', 'constructive algorithms', 'interactive', 'probabilities']",3400.0
Hamed and AghaBalaSar,"['brute force', 'combinatorics', 'dp', 'math', 'probabilities']",2800.0
Ancient Tree,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'greedy', 'trees']",2100.0
